cluster_1	cluster_2	Jaccard	Overlap
dump.out.ecoli60.mci.I60_106	dump.out.ecoli60.mci.I14_79	1.0	1.0
dump.out.ecoli60.mci.I60_107	dump.out.ecoli60.mci.I14_49	0.6666666666666666	1.0
dump.out.ecoli60.mci.I60_108	dump.out.ecoli60.mci.I14_4	0.022900763358778626	1.0
dump.out.ecoli60.mci.I60_109	dump.out.ecoli60.mci.I14_1	0.005612722170252572	1.0
dump.out.ecoli60.mci.I60_110	dump.out.ecoli60.mci.I14_68	0.8571428571428571	1.0
dump.out.ecoli60.mci.I60_111	dump.out.ecoli60.mci.I14_56	0.7142857142857143	1.0
dump.out.ecoli60.mci.I60_112	dump.out.ecoli60.mci.I14_34	0.5	1.0
dump.out.ecoli60.mci.I60_113	dump.out.ecoli60.mci.I14_1	0.0028011204481792717	0.6
dump.out.ecoli60.mci.I60_114	dump.out.ecoli60.mci.I14_50	0.625	1.0
dump.out.ecoli60.mci.I60_115	dump.out.ecoli60.mci.I14_3	0.009456264775413711	0.8
dump.out.ecoli60.mci.I60_116	dump.out.ecoli60.mci.I14_58	0.7142857142857143	1.0
dump.out.ecoli60.mci.I60_117	dump.out.ecoli60.mci.I14_1	0.003738317757009346	0.8
dump.out.ecoli60.mci.I60_118	dump.out.ecoli60.mci.I14_18	0.20833333333333334	1.0
dump.out.ecoli60.mci.I60_119	dump.out.ecoli60.mci.I14_12	0.10416666666666667	1.0
dump.out.ecoli60.mci.I60_120	dump.out.ecoli60.mci.I14_26	0.35714285714285715	1.0
dump.out.ecoli60.mci.I60_121	dump.out.ecoli60.mci.I14_57	0.7142857142857143	1.0
dump.out.ecoli60.mci.I60_122	dump.out.ecoli60.mci.I14_70	0.8333333333333334	1.0
dump.out.ecoli60.mci.I60_123	dump.out.ecoli60.mci.I14_104	0.8	1.0
dump.out.ecoli60.mci.I60_124	dump.out.ecoli60.mci.I14_2	0.01179245283018868	1.0
dump.out.ecoli60.mci.I60_125	dump.out.ecoli60.mci.I14_2	0.01179245283018868	1.0
dump.out.ecoli60.mci.I60_126	dump.out.ecoli60.mci.I14_84	1.0	1.0
dump.out.ecoli60.mci.I60_127	dump.out.ecoli60.mci.I14_9	0.09803921568627451	1.0
dump.out.ecoli60.mci.I60_128	dump.out.ecoli60.mci.I14_23	0.25	1.0
dump.out.ecoli60.mci.I60_129	dump.out.ecoli60.mci.I14_5	0.026737967914438502	1.0
dump.out.ecoli60.mci.I60_130	dump.out.ecoli60.mci.I14_1	0.0028011204481792717	0.6
dump.out.ecoli60.mci.I60_131	dump.out.ecoli60.mci.I14_73	0.8333333333333334	1.0
dump.out.ecoli60.mci.I60_132	dump.out.ecoli60.mci.I14_3	0.011848341232227487	1.0
dump.out.ecoli60.mci.I60_133	dump.out.ecoli60.mci.I14_2	0.01179245283018868	1.0
dump.out.ecoli60.mci.I60_134	dump.out.ecoli60.mci.I14_11	0.10204081632653061	1.0
dump.out.ecoli60.mci.I60_135	dump.out.ecoli60.mci.I14_1	0.004677268475210477	1.0
dump.out.ecoli60.mci.I60_136	dump.out.ecoli60.mci.I14_14	0.11627906976744186	1.0
dump.out.ecoli60.mci.I60_137	dump.out.ecoli60.mci.I14_6	0.04395604395604396	0.8
dump.out.ecoli60.mci.I60_138	dump.out.ecoli60.mci.I14_10	0.1	1.0
dump.out.ecoli60.mci.I60_139	dump.out.ecoli60.mci.I14_10	0.057692307692307696	0.6
dump.out.ecoli60.mci.I60_140	dump.out.ecoli60.mci.I14_19	0.20833333333333334	1.0
dump.out.ecoli60.mci.I60_141	dump.out.ecoli60.mci.I14_3	0.009456264775413711	0.8
dump.out.ecoli60.mci.I60_142	dump.out.ecoli60.mci.I14_1	0.004677268475210477	1.0
dump.out.ecoli60.mci.I60_143	dump.out.ecoli60.mci.I14_7	0.07142857142857142	1.0
dump.out.ecoli60.mci.I60_144	dump.out.ecoli60.mci.I14_19	0.16	0.8
dump.out.ecoli60.mci.I60_145	dump.out.ecoli60.mci.I14_1	0.004677268475210477	1.0
dump.out.ecoli60.mci.I60_146	dump.out.ecoli60.mci.I14_5	0.026737967914438502	1.0
dump.out.ecoli60.mci.I60_147	dump.out.ecoli60.mci.I14_34	0.25	0.6
