dump.out.ecoli60.mci.I60_1190	dump.out.ecoli60.mci.I14_462	dump.out.ecoli60.mci.I20_613 
dump.out.ecoli60.mci.I60_1191	dump.out.ecoli60.mci.I14_463	dump.out.ecoli60.mci.I20_614 
dump.out.ecoli60.mci.I60_1192	dump.out.ecoli60.mci.I14_464	dump.out.ecoli60.mci.I20_615 
dump.out.ecoli60.mci.I60_1193	dump.out.ecoli60.mci.I14_465	dump.out.ecoli60.mci.I20_616 
dump.out.ecoli60.mci.I60_1194	dump.out.ecoli60.mci.I14_466	dump.out.ecoli60.mci.I20_617 
dump.out.ecoli60.mci.I60_1196	dump.out.ecoli60.mci.I14_467	dump.out.ecoli60.mci.I20_618 
dump.out.ecoli60.mci.I60_1197	dump.out.ecoli60.mci.I14_468	dump.out.ecoli60.mci.I20_619 
dump.out.ecoli60.mci.I60_1199	dump.out.ecoli60.mci.I14_469	dump.out.ecoli60.mci.I20_620 
dump.out.ecoli60.mci.I60_1200	dump.out.ecoli60.mci.I14_470	dump.out.ecoli60.mci.I20_621 
dump.out.ecoli60.mci.I60_1201	dump.out.ecoli60.mci.I14_471	dump.out.ecoli60.mci.I20_622 
dump.out.ecoli60.mci.I60_1202	dump.out.ecoli60.mci.I14_472	dump.out.ecoli60.mci.I20_623 
dump.out.ecoli60.mci.I60_1203	dump.out.ecoli60.mci.I14_473	dump.out.ecoli60.mci.I20_624 
dump.out.ecoli60.mci.I60_1205	dump.out.ecoli60.mci.I14_474	dump.out.ecoli60.mci.I20_625 
dump.out.ecoli60.mci.I60_1206	dump.out.ecoli60.mci.I14_475	dump.out.ecoli60.mci.I20_626 
dump.out.ecoli60.mci.I60_1207	dump.out.ecoli60.mci.I14_476	dump.out.ecoli60.mci.I20_627 
dump.out.ecoli60.mci.I60_1208	dump.out.ecoli60.mci.I14_477	dump.out.ecoli60.mci.I20_628 
dump.out.ecoli60.mci.I60_1210	dump.out.ecoli60.mci.I14_478	dump.out.ecoli60.mci.I20_629 
dump.out.ecoli60.mci.I60_1211	dump.out.ecoli60.mci.I14_479	dump.out.ecoli60.mci.I20_630 
dump.out.ecoli60.mci.I60_1212	dump.out.ecoli60.mci.I14_480	dump.out.ecoli60.mci.I20_631 
dump.out.ecoli60.mci.I60_1214	dump.out.ecoli60.mci.I14_481	dump.out.ecoli60.mci.I20_632 
dump.out.ecoli60.mci.I60_1215	dump.out.ecoli60.mci.I14_482	dump.out.ecoli60.mci.I20_633 
dump.out.ecoli60.mci.I60_1221	dump.out.ecoli60.mci.I14_483	dump.out.ecoli60.mci.I20_634 
dump.out.ecoli60.mci.I60_1222	dump.out.ecoli60.mci.I14_484	dump.out.ecoli60.mci.I20_635 
dump.out.ecoli60.mci.I60_1223	dump.out.ecoli60.mci.I14_485	dump.out.ecoli60.mci.I20_636 
dump.out.ecoli60.mci.I60_1224	dump.out.ecoli60.mci.I14_486	dump.out.ecoli60.mci.I20_637 
dump.out.ecoli60.mci.I60_1225	dump.out.ecoli60.mci.I14_487	dump.out.ecoli60.mci.I20_638 
dump.out.ecoli60.mci.I60_1226	dump.out.ecoli60.mci.I14_488	dump.out.ecoli60.mci.I20_639 
dump.out.ecoli60.mci.I60_1227	dump.out.ecoli60.mci.I14_489	dump.out.ecoli60.mci.I20_640 
dump.out.ecoli60.mci.I60_1228	dump.out.ecoli60.mci.I14_490	dump.out.ecoli60.mci.I20_641 
dump.out.ecoli60.mci.I60_1229	dump.out.ecoli60.mci.I14_491	dump.out.ecoli60.mci.I20_642 
